Opportunity__c,Name,AccountId,Ownership__c,Annual_Hours__c
0061G00000Ji58QQAR,GAAS,001OF00000JQeDQYA1,0.015,25
0061G00000LSSy4QAH,GASR,001OF00000IkAtGYAV,0.09,25
0061G00000JhlODQAZ,FJAS,001OF00000ImOlgYAF,0.03125,50
0061G00000Q6i9pQAB,GXAS,001OF00000JQeDQYA1,0.03125,25
0061G00000Jgp3nQAB,GASK,001OF00000IVUNgYAP,0.03125,50
0061G00000POv46QAD,GFSX,001OF00000JN4nzYAD,0.03125,25
0061G00000OFJypQAH,GBAS,001OF00000IhzM4YAJ,0.03125,25
0061G00000OGYJMQA5,FASQ,001OF00000IfWg4YAF,0.0312,25
0061G00000JiE9kQAF,GAAS,0011G00000vibZ3QAI,0.03125,25
0061G00000OLwVGQA1,GBAS,001OF00000IkAtGYAV,0.03125,25
0061G00000JiEJkQAN,GASW,001OF00000Ioq13YAB,0.03125,37.5
0061G00000LSPc8QAH,GASR,001OF00000Ioq13YAB,0.03125,37.5
0061G00000Ncaw5QAB,FASY,001OF00000INEPhYAP,0.03125,25
0061G00000Ncaw5QAB,GNAS,001OF00000IkAtGYAV,0.09,12.5
0061G00000JjbNlQAJ,FIAS,001OF00000ImHvVYAV,0.09,25
0061G00000ONyCJQA1,FASW,001OF00000IdyEuYAJ,0.09,25
0061G00000JiWQ7QAN,GASR,001OF00000IVUNgYAP,0.09,25
,FNAS,001OF00000IfKIFYA3,0.09,50
0061G00000Jic9kQAB,GAAS,001OF00000Ioq13YAB,0.03125,25
0061G00000OGdgeQAD,FSYX,001OF00000Ip5kvYAB,0.0312,50
006Ho00000SJ1sHIAT,FSBR,001OF00000Ioq13YAB,0.03125,25
,GAAS,001OF00000IfWg4YAF,0.03125,50
0061G00000JitJsQAJ,FASR,001OF00000JN4nzYAD,0.03125,50
,FNAS,001OF00000Ioq13YAB,0.03125,25
0061G00000JjDlJQAV,FIAS,001OF00000IMTqfYAH,0.09,25
0061G00000JjRdJQAV,FASY,001OF00000IkA5HYAV,0.09,25
,FNAS,001OF00000IVUNgYAP,0.09,25
,GFSD,001OF00000IiTX3YAN,0.09,25
0061G00000JiyuwQAB,FIAS,001OF00000IiTX3YAN,0.09,25
0061G00000Jiz0QQAR,GASR,001OF00000ImOlgYAF,0.03125,25
0061G00000LTUfuQAH,GASR,001OF00000IdyEuYAJ,0.09,12.5
,FASR,001OF00000IGTLUYA5,0.09,50
0061G00000Jj0EOQAZ,FASR,0011G00000vibZ3QAI,0.09,75
0061G00000Ne7mnQAB,GNAS,001OF00000ImOlgYAF,0.09,25
0061G00000NuSuXQAV,FSFS,001OF00000IsolUYAR,0.03125,25
006OF00000IoULVYA3,GBAS,0011G00000vibZ3QAI,0.0312,25
0061G00000NuPAfQAN,FASY,001OF00000IiTX3YAN,0.03125,25
,FSNY,001OF00000JQeDQYA1,0.03125,25
,GXAS,001OF00000IfKIFYA3,0.03125,25
0061G00000JjNz8QAF,GASE,001OF00000IkA5HYAV,0.03125,25
0061G00000JjS8CQAV,GASK,001OF00000IhzM4YAJ,0.03125,50
,FSNY,001OF00000IkA5HYAV,0.09,50
0061G00000JjVwJQAV,GXAS,001OF00000INEPhYAP,0.03125,50
,FSFS,001OF00000IhzM4YAJ,0.015,37.5
0061G00000JjfZiQAJ,FSFS,001OF00000IfpYsYAJ,0.015,37.5
0061G00000Oj9TGQAZ,FSFP,001OF00000ImHvVYAV,0.015,12.5
0061G00000JjhVRQAZ,GASR,001OF00000JQeDQYA1,0.015,25
0061G00000LUu0tQAD,GASR,001OF00000IfWg4YAF,0.09,25
0061G00000JjhhNQAR,GASR,001OF00000IhzM4YAJ,0.03125,37.5
0061G00000JjmP6QAJ,GASR,001OF00000IfpYsYAJ,0.03125,25
,FSNY,0011G00000vibZ3QAI,0.03125,25
0061G00000JjxRNQAZ,GXAS,001OF00000IiTX3YAN,0.03125,25
0061G00000Pa8QuQAJ,FSQX,001OF00000IfKIFYA3,0.03125,25
0061G00000LQsbqQAD,GASR,001OF00000IVUNgYAP,0.0312,25
0061G00000LSBZ7QAP,FASW,001OF00000Ip5kvYAB,0.0312,25
0061G00000OG2D2QAL,FSYX,001OF00000IkA5HYAV,0.03125,50
0061G00000LRCBlQAP,GASR,001OF00000ImOlgYAF,0.03125,25
0061G00000LRDCSQA5,FASP,001OF00000IfWg4YAF,0.03125,25
0061G00000OLu3wQAD,FSFO,001OF00000Ip5kvYAB,0.03125,50
0061G00000LRTxjQAH,FASY,001OF00000ImOlgYAF,0.03125,50
0061G00000NcJtcQAF,FSNP,0011G00000vibZ3QAI,0.09,25
0061G00000LRhTBQA1,GASL,001OF00000ImOlgYAF,0.09,50
0061G00000LRn1CQAT,FSFO,001OF00000IsolUYAR,0.09,25
0061G00000LRq5WQAT,FASP,001OF00000Ip5kvYAB,0.09,25
0061G00000LRq5WQAT,FASW,001OF00000ImHvVYAV,0.09,25
0061G00000LRqLoQAL,GAAS,001OF00000IiTX3YAN,0.03125,25
0061G00000LRkoIQAT,GAAS,001OF00000INEPhYAP,0.09,37.5
0061G00000LRko8QAD,GAAS,001OF00000IsolUYAR,0.09,25
0061G00000LRsreQAD,FJAS,001OF00000IiTX3YAN,0.09,75
0061G00000LRs9FQAT,GAAS,001OF00000IkA5HYAV,0.09,37.5
006OF00000HxUBdYAN,FASV,001OF00000Ip5kvYAB,0.015,50
0061G00000LRt9EQAT,GASW,001OF00000IfKIFYA3,0.015,50
0061G00000LRt9YQAT,GASW,001OF00000INEPhYAP,0.015,25
0061G00000LRt9JQAT,GASW,001OF00000IGTLUYA5,0.015,50
0061G00000LUhJNQA1,GASK,001OF00000ImOlgYAF,0.09,50
0061G00000OjiflQAB,FSYX,001OF00000IiTX3YAN,0.03125,25
0061G00000LS5TXQA1,FASP,001OF00000JQeDQYA1,0.03125,25
0061G00000LSDJqQAP,FASP,001OF00000IGTLUYA5,0.03125,25
0061G00000LUi9EQAT,GASK,001OF00000IfWg4YAF,0.03125,0
,FASY,001OF00000IMTqfYAH,0.03125,12.5
0061G00000LSKCGQA5,FASY,001OF00000IfpYsYAJ,0.0312,37.5
0061G00000LSKCGQA5,GAAS,001OF00000ImOlgYAF,0.03125,50
0061G00000LSKCGQA5,GASW,001OF00000JQeDQYA1,0.03125,12.5
006OF00000BDFMHYA5,FASV,001OF00000IfpYsYAJ,0.03125,25
,GASR,001OF00000IkAtGYAV,0.03125,25
0061G00000LSUJ7QAP,GASR,001OF00000Ioq13YAB,0.015,50
0061G00000LTjQ0QAL,GASR,001OF00000JQeDQYA1,0.025,25
0061G00000QH2AqQAL,FSFP,001OF00000IiTX3YAN,0.0312,25
0061G00000QY9h4QAD,GFFS,001OF00000IGTLUYA5,0.015,25
0061G00000LSXhjQAH,FASF,001OF00000IdyEuYAJ,0.09,37.5
006OF000006reWvYAI,FSBR,001OF00000IkA5HYAV,0.0312,12.5
006OF00000DemeNYAR,FASV,001OF00000IkA5HYAV,0.03125,12.5
,GNAS,001OF00000IiTX3YAN,0.03125,12.5
0061G00000LSeuvQAD,GZAS,001OF00000IfKIFYA3,0.03125,25
0061G00000LU3jSQAT,FSFO,001OF00000IiTX3YAN,0.03125,25
0061G00000NcaxSQAR,GNAS,001OF00000IfWg4YAF,0.03125,25
0061G00000Nw1rEQAR,GBAS,001OF00000Ioq13YAB,0.09,12.5
0061G00000LSuA0QAL,GASR,001OF00000IkA5HYAV,0.09,25
,GFSD,001OF00000IkAtGYAV,0.09,25
0061G00000LTIPlQAP,FNAS,001OF00000IfpYsYAJ,0.09,25
0061G00000LTUIiQAP,GNAS,001OF00000ImHvVYAV,0.09,25
0061G00000QYAlmQAH,FSNY,001OF00000ImHvVYAV,0.03125,25
0061G00000LT5SKQA1,FLAS,001OF00000Ip5kvYAB,0.03125,25
0061G00000LTKoBQAX,GASR,001OF00000IsolUYAR,0.015,25
0061G00000LSx34QAD,GASR,001OF00000IdyEuYAJ,0.015,50
,FSRX,001OF00000ImHvVYAV,0.015,25
0061G00000LTNjkQAH,FASV,001OF00000IkAtGYAV,0.03125,25
,FSFO,001OF00000ImHvVYAV,0.03125,50
,GNAS,001OF00000JQeDQYA1,0.03125,275
0061G00000LTOrwQAH,GASR,001OF00000IfKIFYA3,0.03125,100
0061G00000LTatiQAD,GASK,001OF00000Ip5kvYAB,0.03125,0
0061G00000LThV6QAL,FASR,001OF00000ImOlgYAF,0.03125,50
0061G00000LUq7LQAT,GASK,001OF00000IkAtGYAV,0.015,50
0061G00000LUq7yQAD,GNAS,001OF00000IsolUYAR,0.015,50
0061G00000NcaweQAB,GNAS,001OF00000IdyEuYAJ,0.015,150
